id,club_id,match_id,players_id,matchperiod,eventsec,eventname,action,modifier,x_begin,y_begin,x_end,y_end,is_success
2183016,59,985,1314,1H,1849.660335,Pass,Smart pass,through,62,44,86.0,50.0,f
2183034,59,985,161,1H,1965.29699,Duel,Ground defending duel,lost,61,64,62.0,68.0,f
2183050,6,985,3234,1H,2039.496194,Pass,High pass,,68,38,65.0,64.0,f
2183061,6,985,442,1H,2084.494817,Duel,Ground defending duel,lost,44,45,43.0,46.0,f
2183097,59,985,1314,1H,2267.493196,Duel,Air duel,lost,49,72,43.0,71.0,f
2183119,6,985,287,1H,2326.460437,Duel,Ground attacking duel,lost,93,24,90.0,41.0,f
2183134,59,985,1739,1H,2381.798188,Free Kick,Free Kick,,13,70,68.0,79.0,f
2183144,59,985,1314,1H,2399.306438,Pass,Simple pass,interception,58,74,68.0,57.0,f
2183162,59,985,311,1H,2480.091543,Duel,Air duel,lost,66,16,61.0,20.0,f
2183182,59,985,257,1H,2546.521311,Duel,Ground defending duel,lost,3,34,1.0,33.0,f
2183200,6,985,287,1H,2632.917639,Duel,Ground loose ball duel,lost,66,63,64.0,65.0,f
2183209,6,985,287,1H,2675.036082,Pass,Smart pass,through,48,70,71.0,59.0,f
2183219,59,985,71,2H,12.931164999999964,Pass,Launch,,28,85,86.0,57.0,f
2183241,6,985,378,2H,72.34635600000001,Duel,Ground loose ball duel,lost,93,61,93.0,65.0,f
2183253,59,985,1460,2H,122.34656499999984,Pass,Simple pass,,56,51,57.0,52.0,f
2183263,6,985,150,2H,144.98230700000022,Pass,Launch,,11,46,59.0,20.0,f
2183269,59,985,71,2H,159.4153339999998,Duel,Ground defending duel,lost,38,95,35.0,98.0,f
2183277,6,985,359,2H,169.34867500000018,Duel,Ground defending duel,lost,73,73,74.0,72.0,f
2183304,6,985,2162,2H,267.60237099999995,Pass,High pass,,52,6,75.0,14.0,f
2183312,6,985,3234,2H,286.6958380000001,Pass,High pass,,58,6,88.0,46.0,f
2183323,6,985,1839,2H,397.8263529999999,Duel,Ground defending duel,lost,8,37,8.0,33.0,f
2183340,6,985,1242,2H,486.4172269999999,Duel,Air duel,lost,46,53,37.0,63.0,f
2183356,6,985,1839,2H,513.5939349999999,Duel,Ground attacking duel,lost,38,76,39.0,67.0,f
2183372,59,985,257,2H,548.9216700000002,Free Kick,Free Kick,,56,8,86.0,51.0,f
