,Dom_Ext,CLB_Nb_jours,ADV_Nb_jours,Écart_Série_vic,Écart_Série_vic_5,Écart_Série_vic_3,Écart_Série_vic_1,Écart_Buts_diff,Écart_Buts_diff_5,Écart_Buts_diff_3,Écart_Buts_diff_1,Écart_Buts_pour,Écart_Buts_pour_5,Écart_Buts_pour_3,Écart_Buts_pour_1,Écart_Buts_contre,Écart_Buts_contre_5,Écart_Buts_contre_3,Écart_Buts_contre_1,Écart_Activité_att_5,Écart_Activité_att_3,Écart_Activité_att_1,Écart_Activité_def_5,Écart_Activité_def_3,Écart_Activité_def_1,Écart_Arrêts_5,Écart_Arrêts_3,Écart_Arrêts_1,Écart_Fautes_5,Écart_Fautes_3,Écart_Fautes_1,Écart_Passes_5,Écart_Passes_3,Écart_Passes_1,Écart_Tirs_5,Écart_Tirs_3,Écart_Tirs_1,[Résultat],[CLB_Buts],[ADV_Buts]
1628,1.0,6.0,6.0,-1.0,-1.0,-2.0,-1.0,-6,-5,-6,-3,-3,-1,-3,-2,-3,-4,-3,-1,-273.0,-137.0,-102.0,138.0,55.0,53.0,4.0,3.0,-1.0,3.0,1.0,1.0,29.0,15.0,1.0,3.0,3.0,-5.0,0.0,0,2
1629,0.0,6.0,6.0,1.0,1.0,2.0,1.0,6,5,6,3,3,1,3,2,3,4,3,1,273.0,137.0,102.0,-138.0,-55.0,-53.0,-4.0,-3.0,1.0,-3.0,-1.0,-1.0,-29.0,-15.0,-1.0,-3.0,-3.0,5.0,1.0,2,0
1630,1.0,7.0,7.0,2.0,0.0,0.0,-1.0,7,-2,-3,-5,3,2,0,-1,4,-4,-3,-4,40.0,82.0,-42.0,426.0,374.0,4.0,3.0,4.0,3.0,2.0,-1.0,-2.0,36.0,18.0,-1.0,-1.0,-4.0,-9.0,1.0,2,1
1631,0.0,7.0,7.0,-2.0,0.0,0.0,1.0,-7,2,3,5,-3,-2,0,1,-4,4,3,4,-40.0,-82.0,42.0,-426.0,-374.0,-4.0,-3.0,-4.0,-3.0,-2.0,1.0,2.0,-36.0,-18.0,1.0,1.0,4.0,9.0,0.0,1,2
1632,1.0,7.0,7.0,4.0,3.0,1.0,-1.0,7,7,3,-2,4,2,1,0,3,5,2,-2,49.0,-8.0,9.0,528.0,288.0,-67.0,-2.0,3.0,3.0,6.0,5.0,1.0,-5.0,2.0,-4.0,2.0,7.0,-15.0,0.0,0,1
1633,0.0,7.0,7.0,-4.0,-3.0,-1.0,1.0,-7,-7,-3,2,-4,-2,-1,0,-3,-5,-2,2,-49.0,8.0,-9.0,-528.0,-288.0,67.0,2.0,-3.0,-3.0,-6.0,-5.0,-1.0,5.0,-2.0,4.0,-2.0,-7.0,15.0,1.0,1,0
1634,1.0,7.0,7.0,0.0,-1.0,0.0,-1.0,11,0,3,-2,0,-2,1,-2,11,2,2,0,-115.0,-171.0,-76.0,169.0,-64.0,1.0,-2.0,0.0,3.0,-4.0,-3.0,-2.0,-5.0,-6.0,-8.0,1.0,-1.0,-10.0,0.0,0,2
1635,0.0,7.0,7.0,0.0,1.0,0.0,1.0,-11,0,-3,2,0,2,-1,2,-11,-2,-2,0,115.0,171.0,76.0,-169.0,64.0,-1.0,2.0,0.0,-3.0,4.0,3.0,2.0,5.0,6.0,8.0,-1.0,1.0,10.0,1.0,2,0
1636,1.0,7.0,7.0,-8.0,-1.0,1.0,1.0,-38,-8,1,4,-10,0,3,4,-28,-8,-2,0,-332.0,-87.0,-15.0,-453.0,-255.0,-137.0,6.0,-5.0,-6.0,-3.0,-1.0,1.0,-26.0,-8.0,0.0,-68.0,-24.0,-17.0,0.0,0,1
1637,0.0,7.0,7.0,8.0,1.0,-1.0,-1.0,38,8,-1,-4,10,0,-3,-4,28,8,2,0,332.0,87.0,15.0,453.0,255.0,137.0,-6.0,5.0,6.0,3.0,1.0,-1.0,26.0,8.0,0.0,68.0,24.0,17.0,1.0,1,0
1638,1.0,9.0,8.0,1.0,0.0,2.0,0.0,4,1,8,2,1,0,3,1,3,1,5,1,-340.0,-220.0,-97.0,800.0,657.0,170.0,-10.0,-10.0,-1.0,3.0,1.0,0.0,-10.0,7.0,1.0,-18.0,-6.0,-4.0,0.0,0,1
1639,0.0,8.0,9.0,-1.0,0.0,-2.0,0.0,-4,-1,-8,-2,-1,0,-3,-1,-3,-1,-5,-1,340.0,220.0,97.0,-800.0,-657.0,-170.0,10.0,10.0,1.0,-3.0,-1.0,0.0,10.0,-7.0,-1.0,18.0,6.0,4.0,1.0,1,0
1640,1.0,14.0,29.0,3.0,0.0,0.0,0.0,3,4,3,2,2,-3,-1,-1,1,7,4,3,77.0,58.0,36.0,-100.0,-164.0,-62.0,-6.0,0.0,3.0,4.0,4.0,3.0,3.0,-3.0,1.0,9.0,7.0,1.0,1.0,2,0
1641,0.0,29.0,14.0,-3.0,0.0,0.0,0.0,-3,-4,-3,-2,-2,3,1,1,-1,-7,-4,-3,-77.0,-58.0,-36.0,100.0,164.0,62.0,6.0,0.0,-3.0,-4.0,-4.0,-3.0,-3.0,3.0,-1.0,-9.0,-7.0,-1.0,0.0,0,2
1642,1.0,8.0,8.0,12.0,2.0,2.0,1.0,57,8,7,5,38,4,3,2,19,4,4,3,-336.0,-267.0,-128.0,584.0,338.0,39.0,-15.0,-12.0,-8.0,-2.0,-1.0,0.0,5.0,7.0,4.0,3.0,-2.0,-8.0,1.0,7,0
1643,0.0,8.0,8.0,-12.0,-2.0,-2.0,-1.0,-57,-8,-7,-5,-38,-4,-3,-2,-19,-4,-4,-3,336.0,267.0,128.0,-584.0,-338.0,-39.0,15.0,12.0,8.0,2.0,1.0,0.0,-5.0,-7.0,-4.0,-3.0,2.0,8.0,0.0,0,7
1644,1.0,7.0,7.0,1.0,0.0,0.0,0.0,-9,1,2,1,-2,0,1,0,-7,1,1,1,297.0,209.0,45.0,-162.0,-101.0,-50.0,-3.0,-2.0,2.0,-4.0,0.0,-1.0,-6.0,-4.0,0.0,-47.0,-17.0,-23.0,0.0,1,2
1645,0.0,7.0,7.0,-1.0,0.0,0.0,0.0,9,-1,-2,-1,2,0,-1,0,7,-1,-1,-1,-297.0,-209.0,-45.0,162.0,101.0,50.0,3.0,2.0,-2.0,4.0,0.0,1.0,6.0,4.0,0.0,47.0,17.0,23.0,1.0,2,1
1646,1.0,8.0,8.0,4.0,3.0,2.0,1.0,25,13,10,5,8,5,4,3,17,8,6,2,514.0,284.0,157.0,-21.0,57.0,160.0,-15.0,-12.0,-4.0,7.0,3.0,3.0,25.0,11.0,11.0,16.0,8.0,0.0,1.0,1,0
1647,0.0,8.0,8.0,-4.0,-3.0,-2.0,-1.0,-25,-13,-10,-5,-8,-5,-4,-3,-17,-8,-6,-2,-514.0,-284.0,-157.0,21.0,-57.0,-160.0,15.0,12.0,4.0,-7.0,-3.0,-3.0,-25.0,-11.0,-11.0,-16.0,-8.0,0.0,0.0,0,1
1648,1.0,15.0,9.0,-2.0,-1.0,-2.0,-1.0,-3,-4,-7,-4,0,-1,-4,-2,-3,-3,-3,-2,-172.0,-108.0,-33.0,134.0,262.0,110.0,3.0,2.0,2.0,1.0,-1.0,0.0,-11.0,-8.0,-4.0,15.0,8.0,-5.0,1.0,3,0
1649,0.0,9.0,15.0,2.0,1.0,2.0,1.0,3,4,7,4,0,1,4,2,3,3,3,2,172.0,108.0,33.0,-134.0,-262.0,-110.0,-3.0,-2.0,-2.0,-1.0,1.0,0.0,11.0,8.0,4.0,-15.0,-8.0,5.0,0.0,0,3
1650,1.0,8.0,8.0,-3.0,-2.0,-1.0,-1.0,-13,-7,-4,-4,-5,-2,-1,-2,-8,-5,-3,-2,43.0,101.0,14.0,-7.0,32.0,39.0,7.0,1.0,2.0,6.0,6.0,0.0,-14.0,-10.0,2.0,-17.0,-7.0,0.0,1.0,3,2
1651,0.0,8.0,8.0,3.0,2.0,1.0,1.0,13,7,4,4,5,2,1,2,8,5,3,2,-43.0,-101.0,-14.0,7.0,-32.0,-39.0,-7.0,-1.0,-2.0,-6.0,-6.0,0.0,14.0,10.0,-2.0,17.0,7.0,0.0,0.0,2,3
1652,1.0,22.0,28.0,1.0,0.0,-2.0,0.0,-1,3,-3,4,6,3,2,4,-7,0,-5,0,-152.0,-54.0,-65.0,-36.0,31.0,-50.0,1.0,3.0,1.0,-2.0,-1.0,1.0,-21.0,-12.0,-4.0,-11.0,-1.0,-1.0,1.0,2,0
1653,0.0,28.0,22.0,-1.0,0.0,2.0,0.0,1,-3,3,-4,-6,-3,-2,-4,7,0,5,0,152.0,54.0,65.0,36.0,-31.0,50.0,-1.0,-3.0,-1.0,2.0,1.0,-1.0,21.0,12.0,4.0,11.0,1.0,1.0,0.0,0,2
1654,1.0,7.0,7.0,-16.0,-3.0,-2.0,-1.0,-70,-12,-10,-5,-37,-6,-3,-3,-33,-6,-7,-2,-136.0,-137.0,-101.0,-511.0,-328.0,-132.0,6.0,0.0,-2.0,5.0,1.0,-1.0,-43.0,-30.0,-12.0,-6.0,-6.0,-6.0,0.0,0,2
1655,0.0,7.0,7.0,16.0,3.0,2.0,1.0,70,12,10,5,37,6,3,3,33,6,7,2,136.0,137.0,101.0,511.0,328.0,132.0,-6.0,0.0,2.0,-5.0,-1.0,1.0,43.0,30.0,12.0,6.0,6.0,6.0,1.0,2,0
1656,1.0,7.0,8.0,1.0,2.0,2.0,1.0,6,9,9,6,-11,1,2,2,17,8,7,4,56.0,61.0,69.0,131.0,74.0,-8.0,-1.0,3.0,-2.0,1.0,-1.0,-4.0,0.0,9.0,4.0,-10.0,9.0,3.0,1.0,1,0
1657,0.0,8.0,7.0,-1.0,-2.0,-2.0,-1.0,-6,-9,-9,-6,11,-1,-2,-2,-17,-8,-7,-4,-56.0,-61.0,-69.0,-131.0,-74.0,8.0,1.0,-3.0,2.0,-1.0,1.0,4.0,0.0,-9.0,-4.0,10.0,-9.0,-3.0,0.0,0,1
1658,1.0,14.0,7.0,0.0,1.0,1.0,1.0,2,5,6,4,5,4,4,2,-3,1,2,2,-23.0,-105.0,-76.0,10.0,-95.0,-140.0,-8.0,-1.0,1.0,2.0,2.0,-2.0,6.0,-1.0,5.0,29.0,15.0,12.0,1.0,3,2
1659,0.0,7.0,14.0,0.0,-1.0,-1.0,-1.0,-2,-5,-6,-4,-5,-4,-4,-2,3,-1,-2,-2,23.0,105.0,76.0,-10.0,95.0,140.0,8.0,1.0,-1.0,-2.0,-2.0,2.0,-6.0,1.0,-5.0,-29.0,-15.0,-12.0,0.0,2,3
1660,1.0,8.0,8.0,9.0,2.0,1.0,0.0,38,14,7,0,39,15,8,1,-1,-1,-1,-1,-415.0,-352.0,-112.0,-7.0,-60.0,-110.0,2.0,4.0,3.0,-15.0,-6.0,-3.0,33.0,18.0,7.0,-4.0,1.0,-19.0,0.0,1,2
1661,0.0,8.0,8.0,-9.0,-2.0,-1.0,0.0,-38,-14,-7,0,-39,-15,-8,-1,1,1,1,1,415.0,352.0,112.0,7.0,60.0,110.0,-2.0,-4.0,-3.0,15.0,6.0,3.0,-33.0,-18.0,-7.0,4.0,-1.0,19.0,1.0,2,1
1662,1.0,16.0,5.0,-8.0,-3.0,-2.0,0.0,-33,-14,-11,1,-18,-8,-7,0,-15,-6,-4,1,-110.0,-74.0,-3.0,-598.0,-404.0,-199.0,7.0,4.0,2.0,-5.0,-5.0,-3.0,-20.0,-8.0,-9.0,-48.0,-22.0,-14.0,1.0,4,1
1663,0.0,5.0,16.0,8.0,3.0,2.0,0.0,33,14,11,-1,18,8,7,0,15,6,4,-1,110.0,74.0,3.0,598.0,404.0,199.0,-7.0,-4.0,-2.0,5.0,5.0,3.0,20.0,8.0,9.0,48.0,22.0,14.0,0.0,1,4
1664,1.0,8.0,24.0,1.0,0.0,1.0,0.0,-13,-9,-5,-2,1,0,2,0,-14,-9,-7,-2,85.0,13.0,62.0,38.0,-126.0,16.0,12.0,5.0,2.0,2.0,0.0,1.0,26.0,16.0,0.0,-11.0,3.0,0.0,1.0,1,0
1665,0.0,24.0,8.0,-1.0,0.0,-1.0,0.0,13,9,5,2,-1,0,-2,0,14,9,7,2,-85.0,-13.0,-62.0,-38.0,126.0,-16.0,-12.0,-5.0,-2.0,-2.0,0.0,-1.0,-26.0,-16.0,0.0,11.0,-3.0,0.0,0.0,0,1
1666,1.0,6.0,5.0,2.0,-1.0,0.0,0.0,-2,-6,0,-2,3,-2,1,-2,-5,-4,-1,0,380.0,213.0,55.0,-247.0,-161.0,0.0,-5.0,-3.0,2.0,-7.0,-2.0,-1.0,17.0,10.0,-1.0,1.0,-17.0,-13.0,1.0,2,0
1667,0.0,5.0,6.0,-2.0,1.0,0.0,0.0,2,6,0,2,-3,2,-1,2,5,4,1,0,-380.0,-213.0,-55.0,247.0,161.0,0.0,5.0,3.0,-2.0,7.0,2.0,1.0,-17.0,-10.0,1.0,-1.0,17.0,13.0,0.0,0,2
1668,1.0,5.0,5.0,-11.0,-2.0,-2.0,0.0,-40,-13,-14,-6,-29,-6,-6,-5,-11,-7,-8,-1,-88.0,-55.0,-7.0,-174.0,-97.0,-78.0,11.0,9.0,2.0,-1.0,-1.0,1.0,-4.0,-10.0,-5.0,14.0,-6.0,-15.0,0.0,0,2
1669,0.0,5.0,5.0,11.0,2.0,2.0,0.0,40,13,14,6,29,6,6,5,11,7,8,1,88.0,55.0,7.0,174.0,97.0,78.0,-11.0,-9.0,-2.0,1.0,1.0,-1.0,4.0,10.0,5.0,-14.0,6.0,15.0,1.0,2,0
1670,1.0,7.0,7.0,4.0,1.0,0.0,-1.0,20,4,1,-2,13,4,3,-1,7,0,-2,-1,-209.0,-131.0,-76.0,375.0,358.0,110.0,-5.0,-6.0,-1.0,-2.0,2.0,-1.0,35.0,28.0,8.0,-6.0,5.0,-9.0,0.0,1,2
1671,0.0,7.0,7.0,-4.0,-1.0,0.0,1.0,-20,-4,-1,2,-13,-4,-3,1,-7,0,2,1,209.0,131.0,76.0,-375.0,-358.0,-110.0,5.0,6.0,1.0,2.0,-2.0,1.0,-35.0,-28.0,-8.0,6.0,-5.0,9.0,1.0,2,1
1672,1.0,10.0,7.0,0.0,1.0,1.0,0.0,6,3,3,-2,-2,2,-2,-3,8,1,5,1,100.0,244.0,95.0,-308.0,-183.0,-55.0,6.0,-2.0,2.0,4.0,5.0,1.0,11.0,8.0,3.0,-2.0,6.0,3.0,1.0,1,0
1673,0.0,7.0,10.0,0.0,-1.0,-1.0,0.0,-6,-3,-3,2,2,-2,2,3,-8,-1,-5,-1,-100.0,-244.0,-95.0,308.0,183.0,55.0,-6.0,2.0,-2.0,-4.0,-5.0,-1.0,-11.0,-8.0,-3.0,2.0,-6.0,-3.0,0.0,0,1
1674,1.0,6.0,13.0,-7.0,-2.0,-3.0,-1.0,-19,-6,-10,-3,-12,0,-3,-2,-7,-6,-7,-1,-326.0,-99.0,-20.0,-481.0,-254.0,-34.0,13.0,4.0,-1.0,-3.0,0.0,1.0,-15.0,-7.0,-2.0,-31.0,-18.0,-7.0,0.0,0,4
