,0,36,116,158,277,463,565,634,807,955,1007,1057,1123,1223,1264,1439,1498,1547,1631,1695,2011,2152,2201,2351,2432,2523,2590,2652
Date,2017-08-04 18:45:00,2017-08-12 18:00:00,2017-08-20 19:00:00,2017-08-26 18:00:00,2017-09-15 18:45:00,2017-09-24 19:00:00,2017-10-14 18:00:00,2017-10-21 18:00:00,2017-11-04 19:00:00,2017-11-25 19:00:00,2017-11-29 18:00:00,2017-12-02 19:00:00,2017-12-09 19:00:00,2017-12-16 19:00:00,2017-12-20 19:50:00,2018-01-14 14:00:00,2018-01-20 19:00:00,2018-01-27 19:00:00,2018-02-03 19:00:00,2018-02-10 16:00:00,2018-03-11 20:00:00,2018-04-01 19:00:00,2018-04-07 18:00:00,2018-04-21 18:00:00,2018-04-29 13:00:00,2018-05-06 15:00:00,2018-05-12 19:00:00,2018-05-19 19:00:00
Équipe_id,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
Match_id,759,746,730,727,709,690,678,665,647,624,616,603,597,586,579,562,544,537,526,519,470,451,447,427,412,406,392,388
Club,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse
(Activité_Attaquants_2H),55.0,83.0,93.0,97.0,57.0,91.0,56.0,74.0,126.0,118.0,111.0,105.0,136.0,107.0,95.0,79.0,51.0,63.0,114.0,95.0,86.0,100.0,119.0,73.0,111.0,56.0,96.0,111.0
(Activité_Attaquants_1H),59.0,65.0,81.0,81.0,82.0,49.0,96.0,28.0,110.0,148.0,101.0,70.0,91.0,79.0,54.0,69.0,59.0,53.0,93.0,115.0,97.0,71.0,126.0,105.0,110.0,96.0,96.0,81.0
Act_Tot_att_1H_5,,,,,,368.0,358.0,389.0,336.0,365.0,431.0,483.0,457.0,520.0,489.0,395.0,363.0,352.0,314.0,328.0,389.0,417.0,429.0,502.0,514.0,509.0,508.0,533.0
Act_Tot_att_1H_3,,,,205.0,227.0,244.0,212.0,227.0,173.0,234.0,286.0,359.0,319.0,262.0,240.0,224.0,202.0,182.0,181.0,205.0,261.0,305.0,283.0,294.0,302.0,341.0,311.0,302.0
Act_Tot_att_1H_1,,59.0,65.0,81.0,81.0,82.0,49.0,96.0,28.0,110.0,148.0,101.0,70.0,91.0,79.0,54.0,69.0,59.0,53.0,93.0,115.0,97.0,71.0,126.0,105.0,110.0,96.0,96.0
Act_Tot_att_2H_5,,,,,,385.0,421.0,394.0,375.0,404.0,465.0,485.0,534.0,596.0,577.0,554.0,522.0,468.0,395.0,402.0,402.0,409.0,458.0,514.0,473.0,489.0,459.0,455.0
Act_Tot_att_2H_3,,,,231.0,273.0,247.0,245.0,204.0,221.0,256.0,318.0,355.0,334.0,352.0,348.0,338.0,281.0,225.0,193.0,228.0,272.0,295.0,281.0,305.0,292.0,303.0,240.0,263.0
Act_Tot_att_2H_1,,55.0,83.0,93.0,97.0,57.0,91.0,56.0,74.0,126.0,118.0,111.0,105.0,136.0,107.0,95.0,79.0,51.0,63.0,114.0,95.0,86.0,100.0,119.0,73.0,111.0,56.0,96.0
Act_Tot_att_3H_5,,,,,,753.0,779.0,783.0,711.0,769.0,896.0,968.0,991.0,1116.0,1066.0,949.0,885.0,820.0,709.0,730.0,791.0,826.0,887.0,1016.0,987.0,998.0,967.0,988.0
Act_Tot_att_3H_3,,,,436.0,500.0,491.0,457.0,431.0,394.0,490.0,604.0,714.0,653.0,614.0,588.0,562.0,483.0,407.0,374.0,433.0,533.0,600.0,564.0,599.0,594.0,644.0,551.0,565.0
